top - 00:54:19 up  8:25,  2 users,  load average: 5.90, 4.74, 4.22
Tasks: 442 total,   1 running, 440 sleeping,   0 stopped,   1 zombie
%Cpu(s): 19.0 us,  5.8 sy,  0.0 ni, 73.0 id,  0.0 wa,  1.5 hi,  0.7 si,  0.0 st 
MiB Mem :  31867.4 total,   2200.2 free,  19525.3 used,  14626.9 buff/cache     
MiB Swap:  15933.5 total,  15933.4 free,      0.1 used.  12342.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
     76 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/+
     77 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [idle_i+
     78 root      rt   0       0      0      0 S   0.0   0.0   0:00.18 [migrat+
     79 root      20   0       0      0      0 S   0.0   0.0   0:00.11 [ksofti+
     81 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     82 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [cpuhp/+
     83 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [idle_i+
     84 root      rt   0       0      0      0 S   0.0   0.0   0:00.16 [migrat+
     85 root      20   0       0      0      0 S   0.0   0.0   0:00.11 [ksofti+
     87 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     88 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kdevtm+
     89 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     90 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [rcu_ta+
     91 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [rcu_ta+
     92 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [rcu_ta+
     93 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [kaudit+
     94 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [oom_re+
     96 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
     97 root      20   0       0      0      0 S   0.0   0.0   0:32.13 [kcompa+
     98 root      25   5       0      0      0 S   0.0   0.0   0:00.00 [ksmd]
     99 root      39  19       0      0      0 S   0.0   0.0   0:00.71 [khugep+
    100 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    101 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    102 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    104 root     -51   0       0      0      0 S   0.0   0.0   0:01.99 [irq/9-+
    106 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    107 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    108 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    109 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    110 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    111 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    112 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [watchd+
    113 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    115 root       0 -20       0      0      0 I   0.0   0.0   0:01.60 [kworke+
    117 root      20   0       0      0      0 S   0.0   0.0   0:04.92 [kswapd+
    118 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    122 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    124 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/12+
    125 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/12+
    126 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/12+
    127 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/12+
    128 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/12+
    129 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/12+
    130 root     -51   0       0      0      0 S   0.0   0.0   0:00.00 [irq/12+
    131 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    132 root      20   0       0      0      0 S   0.0   0.0   0:00.26 [hwrng]
    137 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    138 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    140 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    141 root       0 -20       0      0      0 I   0.0   0.0   0:08.57 [kworke+
    143 root       0 -20       0      0      0 I   0.0   0.0   0:00.00 [kworke+
    218 root       0 -20       0      0      0 I   0.0   0.0   0:02.13 [kworke+
    220 root       0 -20       0      0      0 I   0.0   0.0   0:01.94 [kworke+
    222 root       0 -20       0      0      0 I   0.0   0.0   0:02.91 [kworke+
    232 root       0 -20       0      0      0 I   0.0   0.0   0:07.28 [kworke+
    270 root       0 -20       0      0      0 I   0.0   0.0   0:01.31 [kworke+
    277 root       0 -20       0      0      0 I   0.0   0.0   0:01.34 [kworke+
    278 root       0 -20       0      0      0 I   0.0   0.0   0:01.86 [kworke+
    280 root       0 -20       0      0      0 I   0.0   0.0   0:01.61 [kworke+
