top - 00:54:19 up  8:25,  2 users,  load average: 5.90, 4.74, 4.22
Tasks: 442 total,   1 running, 440 sleeping,   0 stopped,   1 zombie
%Cpu(s): 19.0 us,  5.8 sy,  0.0 ni, 73.0 id,  0.0 wa,  1.5 hi,  0.7 si,  0.0 st 
MiB Mem :  31867.4 total,   2200.2 free,  19525.3 used,  14626.9 buff/cache     
MiB Swap:  15933.5 total,  15933.4 free,      0.1 used.  12342.1 avail Mem 

    PID USER      PR  NI    VIRT    RES    SHR S  %CPU  %MEM     TIME+ COMMAND
   3559 freekbi+  20   0   32.7g  66796  54148 S   0.0   0.2   0:00.01 /var/ho+
   3562 freekbi+  20   0   32.7g  17120   4364 S   0.0   0.1   0:00.03 /var/ho+
   3585 freekbi+  20   0   34.4g 257388 211300 S   0.0   0.8   8:59.35 /var/ho+
   3594 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nvidia+
   3597 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nvidia+
   3600 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nvidia+
   3601 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nvidia+
   3602 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [nvidia+
   3615 freekbi+  20   0 1407140  95924  78892 S   0.0   0.3   0:02.02 /proc/s+
   3616 freekbi+  20   0   33.2g  46036  29892 S   0.0   0.1   0:00.11 /var/ho+
   3648 freekbi+  20   0   48.1g 599664 111236 S   0.0   1.8  15:09.03 /var/ho+
   3893 freekbi+  20   0    3748   2380   2180 S   0.0   0.0   0:00.02 /usr/bi+
   3900 freekbi+  20   0  531412   7324   6664 S   0.0   0.0   0:00.10 /usr/li+
   3905 freekbi+  20   0    4232   1080    844 S   0.0   0.0   0:00.00 server +
   3908 freekbi+  20   0    3748   2360   2208 S   0.0   0.0   0:00.00 /usr/bi+
   3909 freekbi+  20   0  530956   6436   5884 S   0.0   0.0   0:01.69 /usr/bi+
   3915 freekbi+  20   0    3756   1592   1320 S   0.0   0.0   0:00.01 /usr/bi+
   3916 freekbi+  20   0    7856   4148   3776 S   0.0   0.0   0:00.00 /bin/ba+
   3917 freekbi+  20   0    3072   2060   1940 S   0.0   0.0   0:00.00 socat U+
   3919 freekbi+  20   0 1392.3g 251432 144720 S   0.0   0.8   2:22.66 /app/di+
   3924 freekbi+  20   0  552044  14548  12580 S   0.0   0.0   0:00.11 /usr/li+
   3931 freekbi+  20   0   32.5g  51652  43072 S   0.0   0.2   0:00.01 /app/di+
   3933 freekbi+  20   0       0      0      0 Z   0.0   0.0   0:00.00 [zypak-+
   3935 freekbi+  20   0    5872   2064   1940 S   0.0   0.0   0:00.00 cat
   3936 freekbi+  20   0    5872   2016   1896 S   0.0   0.0   0:00.00 cat
   3937 freekbi+  20   0    3748   2384   2188 S   0.0   0.0   0:00.01 /usr/bi+
   3946 freekbi+  20   0    3756   1724   1452 S   0.0   0.0   0:00.01 /usr/bi+
   3947 freekbi+  20   0   32.5g  52972  44336 S   0.0   0.2   0:00.01 /app/di+
   3962 freekbi+  20   0   32.0g   3568   3236 S   0.0   0.0   0:00.00 /app/di+
   3982 freekbi+  20   0   32.9g 205192 102428 S   0.0   0.6  15:55.48 /app/di+
   3990 freekbi+  20   0   32.3g  89644  71168 S   0.0   0.3   0:32.19 /proc/s+
   4044 freekbi+  20   0   21308  19640   2584 S   0.0   0.1   0:00.29 p11-kit+
   4063 freekbi+  20   0 1426.7g 989.5m 360540 S   0.0   3.1  73:30.26 /proc/s+
   4141 freekbi+  20   0   32.3g  62128  52716 S   0.0   0.2   0:03.15 /proc/s+
   4315 freekbi+  20   0    3748   2432   2228 S   0.0   0.0   0:00.02 /usr/bi+
   4326 freekbi+  20   0    3748   2356   2200 S   0.0   0.0   0:00.00 /usr/bi+
   4327 freekbi+  20   0  530956   6288   5796 S   0.0   0.0   0:00.42 /usr/bi+
   4330 freekbi+  20   0    3756   1644   1364 S   0.0   0.0   0:00.02 /usr/bi+
   4335 freekbi+  20   0  151324   3616   3052 S   0.0   0.0   0:00.02 /app/li+
   4411 freekbi+  20   0  448616  29716  20748 S   0.0   0.1   0:00.16 /app/li+
   4414 freekbi+  20   0  463540  42988  32608 S   0.0   0.1   0:01.93 /app/li+
   4430 freekbi+  20   0 2939764 229880 121504 S   0.0   0.7   5:57.60 /app/li+
   4438 freekbi+  20   0 1029508 149772 122840 S   0.0   0.5   3:27.75 /app/li+
   4499 freekbi+  20   0   23.4g 509684 139624 S   0.0   1.6   2:13.32 /app/li+
   4565 freekbi+  20   0  600852  56468  43652 S   0.0   0.2   0:13.90 /app/li+
   4578 freekbi+  20   0 3730776 585720 154792 S   0.0   1.8  21:41.65 /app/li+
   4776 freekbi+  20   0 3528284 714628 143384 S   0.0   2.2  10:19.91 /app/li+
   5287 freekbi+  20   0 2860948 218040 113588 S   0.0   0.7   0:37.39 /app/li+
   5401 root       0 -20       0      0      0 I   0.0   0.0   2:00.19 [kworke+
   7339 freekbi+  20   0 2788808 167816 110164 S   0.0   0.5   0:29.60 /app/li+
   7568 freekbi+  20   0    1056    216    176 S   0.0   0.0   0:00.00 cataton+
  20903 freekbi+  20   0   47.9g  95348  76740 S   0.0   0.3   0:00.11 /var/ho+
  22496 freekbi+  20   0 3739168 427020  78080 S   0.0   1.3   1:09.45 /usr/bi+
  22546 freekbi+  20   0  257.0g 130480 108848 S   0.0   0.4   0:00.17 /usr/li+
  22592 freekbi+  20   0    3748   2368   2212 S   0.0   0.0   0:00.00 /usr/bi+
  22593 freekbi+  20   0  457228   6116   5664 S   0.0   0.0   0:00.13 /usr/bi+
  22596 freekbi+  20   0    3844   1556   1276 S   0.0   0.0   0:00.03 /usr/bi+
  22602 freekbi+  20   0  485100  94516  77444 S   0.0   0.3   0:00.04 /app/ex+
  22606 freekbi+  20   0   48.7g 106896  89460 S   0.0   0.3   0:00.04 /app/ex+
  22607 freekbi+  20   0   48.7g 106612  89180 S   0.0   0.3   0:00.05 /app/ex+
  22635 freekbi+  20   0 1637368 149112 119144 S   0.0   0.5   0:09.76 /app/ex+
  22638 freekbi+  20   0   49.2g  53452  33348 S   0.0   0.2   0:00.35 /app/ex+
  22698 freekbi+  20   0   21308  19516   2460 S   0.0   0.1   0:00.57 p11-kit+
  22754 freekbi+  20   0   81.1g 105036  38144 S   0.0   0.3   0:00.91 /app/ex+
  22794 root      20   0  330660   8052   6844 S   0.0   0.0   0:00.05 /usr/bi+
  22853 freekbi+  20   0  392376   6860   6300 S   0.0   0.0   0:00.00 /usr/li+
  23488 freekbi+  20   0 3476716 584588 140256 S   0.0   1.8   7:01.95 /app/li+
  29668 freekbi+  20   0 3254848 516732 135052 S   0.0   1.6   7:25.25 /app/li+
  32932 freekbi+  20   0 3231888 519092 128616 S   0.0   1.6   5:12.18 /app/li+
  77700 root      20   0       0      0      0 I   0.0   0.0   0:04.21 [kworke+
  79528 freekbi+  20   0 2905068 312024 123032 S   0.0   1.0   0:58.98 /app/li+
  80322 root      20   0       0      0      0 I   0.0   0.0   0:03.56 [kworke+
  83148 root      20   0       0      0      0 I   0.0   0.0   0:03.66 [kworke+
 114625 root      20   0       0      0      0 I   0.0   0.0   0:52.41 [kworke+
 121650 root      20   0       0      0      0 I   0.0   0.0   0:01.61 [kworke+
 126800 freekbi+  20   0 3245708 389072 131588 S   0.0   1.2   0:42.76 /app/li+
 127951 root      20   0       0      0      0 I   0.0   0.0   0:01.81 [kworke+
 129652 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [vidmem+
 129653 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [UVM GP+
 129654 root      20   0       0      0      0 S   0.0   0.0   0:00.00 [UVM GP+
 135378 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 136427 freekbi+  20   0 3169984 373320 127740 S   0.0   1.1   1:03.55 /app/li+
 136840 root      20   0       0      0      0 I   0.0   0.0   0:01.39 [kworke+
 137976 root      20   0       0      0      0 I   0.0   0.0   0:01.75 [kworke+
 138019 freekbi+  20   0   73.2g 314212 150828 S   0.0   1.0   4:47.85 /usr/bi+
 138056 freekbi+  20   0   70.7g  89044  56808 S   0.0   0.3   0:00.43 /usr/li+
 138071 freekbi+  20   0   73.6g 433948 189216 S   0.0   1.3   8:41.91 /usr/li+
 138119 freekbi+  20   0    3072   1416   1284 S   0.0   0.0   0:00.00 socat U+
 138453 freekbi+  20   0    3072   1416   1284 S   0.0   0.0   0:00.00 socat U+
 139345 freekbi+  20   0 3324804 578556 131408 S   0.0   1.8   0:58.16 /app/li+
 140147 freekbi+  20   0 2813396 220672 115816 S   0.0   0.7   0:18.01 /app/li+
 140553 freekbi+  20   0 2863296 236888 120132 S   0.0   0.7   0:15.53 /app/li+
 142651 root      20   0       0      0      0 I   0.0   0.0   0:00.71 [kworke+
 143395 root      20   0       0      0      0 I   0.0   0.0   0:00.80 [kworke+
 143635 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 145069 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 145084 root      20   0       0      0      0 I   0.0   0.0   0:00.61 [kworke+
 145918 root      20   0       0      0      0 I   0.0   0.0   0:00.44 [kworke+
 146138 root      20   0       0      0      0 I   0.0   0.0   0:00.59 [kworke+
 148486 root      20   0       0      0      0 I   0.0   0.0   0:00.53 [kworke+
 148861 freekbi+  20   0 1864676 184392 151772 S   0.0   0.6   0:01.95 /usr/bi+
 148936 root      20   0       0      0      0 I   0.0   0.0   0:00.53 [kworke+
 149030 root      20   0       0      0      0 I   0.0   0.0   0:00.29 [kworke+
 149614 root      20   0       0      0      0 I   0.0   0.0   0:00.26 [kworke+
 150047 root      20   0       0      0      0 I   0.0   0.0   0:00.45 [kworke+
 150499 freekbi+  20   0  232024   3848   3548 S   0.0   0.0   0:00.00 /usr/bi+
 150509 freekbi+  20   0  377972   7532   6656 S   0.0   0.0   0:00.19 /usr/li+
 150541 freekbi+  20   0  234576   6932   4004 S   0.0   0.0   0:00.11 /usr/bi+
 150929 freekbi+  20   0 2730376 141480  94812 S   0.0   0.4   0:01.39 /app/li+
 150966 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 151480 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 155988 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 155994 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 156031 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 156926 root      20   0       0      0      0 I   0.0   0.0   0:00.15 [kworke+
 156947 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 156975 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 157078 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 157332 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 157371 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 157393 freekbi+  20   0 2598440  75988  59764 S   0.0   0.2   0:00.09 /app/li+
 157431 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 157434 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 157446 root      20   0   16732   7132   6080 S   0.0   0.0   0:00.00 systemd+
 157447 root      20   0   16732   7140   6080 S   0.0   0.0   0:00.00 systemd+
 157448 root      20   0   16732   7240   6184 S   0.0   0.0   0:00.00 systemd+
 157449 root      20   0   16732   7128   6072 S   0.0   0.0   0:00.00 systemd+
 157450 root      20   0   16732   7348   6288 S   0.0   0.0   0:00.00 systemd+
 157480 root      20   0   17072   7496   6412 S   0.0   0.0   0:00.00 systemd+
 157481 root      20   0   17072   7360   6272 S   0.0   0.0   0:00.00 systemd+
 157532 freekbi+  20   0 2598440  76024  59820 S   0.0   0.2   0:00.05 /app/li+
 157587 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 157622 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 157653 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 158813 freekbi+  20   0 2598440  75992  59788 S   0.0   0.2   0:00.05 /app/li+
 160318 freekbi+  20   0  256.3g  28776  25812 S   0.0   0.1   0:00.02 /usr/li+
 160319 freekbi+  20   0  256.3g  28796  25832 S   0.0   0.1   0:00.03 /usr/li+
 160321 freekbi+  20   0  256.3g  28504  25540 S   0.0   0.1   0:00.02 /usr/li+
 160325 root      20   0       0      0      0 I   0.0   0.0   0:00.00 [kworke+
 160334 root      20   0   17072   7496   6412 S   0.0   0.0   0:00.00 systemd+
 160336 freekbi+  20   0  232160   3764   3428 S   0.0   0.0   0:00.00 /bin/ba+
